#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BC9AD6
#Date Time: 2025-02-14 19:36:30.803.369.550
#Sample rate: 1000Hz
#Samples: 5000
#Trigger: None
#Potentiometer: Range: 10 mV/div Offset: -30 mV Sample Mode: Average
#MovingAverage: Input: C1 Filter: Chebyshev Low-pass 2  Freq1: 1 Hz Epsilon: 0.01 


Time (s),Potentiometer (V),MovingAverage (V)
0,0.001224624564140658,5.857332734806966e-07
0.0009999999999998899,0.0009861377415420203,2.777986060129493e-06
0.00199999999999978,0.0005886597038776212,6.642703857934262e-06
0.003000000000000114,0.0002706772737461026,1.142476837210136e-05
0.004000000000000004,-0.0002857919789840541,1.629899494407255e-05
0.004999999999999893,-0.002193686559773166,1.965353051646648e-05
0.005999999999999783,-0.001478226091977251,1.98250094891747e-05
0.007000000000000117,-0.0009217568392470947,1.70440023784808e-05
0.008000000000000007,0.0005091640963447407,1.305365517287072e-05
0.008999999999999897,0.001065633349074897,9.836004392355876e-06
0.009999999999999787,0.002417058677133852,9.213484943174367e-06
0.01100000000000012,0.003927475220258565,1.331138365290005e-05
0.01200000000000001,0.003609492790127046,2.377497286126702e-05
0.0129999999999999,0.00265554549973249,4.016048364057089e-05
0.01399999999999979,0.002019580639469453,6.070892114258168e-05
0.01500000000000012,0.001860589424403696,8.39880460069538e-05
0.01600000000000001,0.001383615779206416,0.0001091034496880969
0.0169999999999999,0.001224624564140658,0.000135287451578269
0.01799999999999979,0.0008271465264762592,0.0001618548663157086
0.01900000000000013,0.0002706772737461026,0.0001880092037326141
0.02000000000000002,0.0002706772737461026,0.0002130030270259292
0.02099999999999991,-0.0006832700166484532,0.0002361364104427741
0.0219999999999998,-0.002511668989904688,0.0002556907710074999
0.02300000000000013,-0.00131923487691149,0.0002702106001166501
0.02400000000000002,-0.0002857919789840541,0.0002807336318046488
0.02499999999999991,0.0006681553114105017,0.0002894971067307236
0.0259999999999998,0.001383615779206416,0.0002983399101676365
0.02700000000000014,0.003053023537396889,0.0003091794612606336
0.02800000000000002,0.003688988397659927,0.0003241173530760594
0.02899999999999991,0.003371005967528408,0.0003441314085190438
0.0299999999999998,0.002496554284666733,0.0003684574998844992
0.03100000000000014,0.001860589424403696,0.0003954950350955892
0.03200000000000003,0.001781093816870815,0.0004239633562988638
0.03299999999999992,0.001304120171673539,0.0004531129385052361
0.03399999999999981,0.001065633349074897,0.0004822383704763247
0.03500000000000014,0.0006681553114105017,0.0005106390088704364
0.03600000000000003,0.0002706772737461026,0.0005376200298608094
0.03699999999999992,0.0001116860586803416,0.0005625694507908103
0.03799999999999981,-0.001398730484444374,0.000584498011975359
0.03900000000000015,-0.002114190952240289,0.0006016837059277299
0.04000000000000004,-0.001160243661845733,0.0006134304827385216
0.04099999999999993,0.0001116860586803416,0.0006212241325880381
0.04199999999999982,0.0008271465264762592,0.0006273044720127895
0.04300000000000015,0.001860589424403696,0.0006335507400431324
0.04400000000000004,0.003768484005192807,0.0006421842557984774
0.04499999999999993,0.003529997182594169,0.0006552491484529557
0.04599999999999982,0.002973527929864009,0.0006728701504472212
0.04700000000000015,0.002258067462068095,0.0006937488884558849
0.04800000000000004,0.001781093816870815,0.0007164693184159221
0.04899999999999993,0.001622102601805057,0.0007400018568409681
0.04999999999999982,0.001224624564140658,0.0007636819332652113
0.05100000000000016,0.0009861377415420203,0.0007868849643469008
0.05200000000000005,0.0005886597038776212,0.0008089871034193339
0.05299999999999994,0.0002706772737461026,0.0008293663894459325
0.05399999999999983,-0.000206296371451177,0.000847365800300192
0.05500000000000016,-0.002114190952240289,0.0008615742078567023
0.05600000000000005,-0.001557721699510128,0.0008704070869098925
0.05699999999999994,-0.0009217568392470947,0.0008740972209854442
0.05799999999999983,0.0005886597038776212,0.0008745461153517513
0.05900000000000016,0.001065633349074897,0.0008739264801264536
0.06000000000000005,0.002496554284666733,0.000874167347904129
0.06099999999999994,0.003927475220258565,0.0008774974627830113
0.06199999999999983,0.003609492790127046,0.0008856243838586378
0.06300000000000017,0.002735041107265371,0.0008982038788783322
0.06400000000000006,0.002099076247002334,0.0009136493144481094
0.06499999999999995,0.001940085031936576,0.0009306548275336645
0.06599999999999984,0.001383615779206416,0.0009483709229991343
0.06700000000000017,0.001224624564140658,0.0009660362434608934
0.06800000000000006,0.0009066421340091398,0.0009830497301964592
0.06899999999999995,0.0003501728812789831,0.0009987719476649778
0.06999999999999984,0.0003501728812789831,0.001012566654802962
0.07100000000000017,-0.0006037744091155761,0.001023801828763689
