,0
0,-0.021810562456126198
1,-0.0231628266113596
2,-0.024465226474572
3,-0.025718633900224698
4,-0.026924075716688298
5,-0.028082684348598397
6,-0.029195537161853996
7,-0.030264760389538396
8,-0.0312924729244947
9,-0.032278311251022
10,-0.0332205691446444
11,-0.034118107374996196
12,-0.034969827236878595
13,-0.0357743279947603
14,-0.036531410739624695
15,-0.0372427663942344
16,-0.0379109074030817
17,-0.0385380104946075
18,-0.0391257427468671
19,-0.0396757075269377
20,-0.0401894452837709
21,-0.0406685865031707
22,-0.041114805110019095
23,-0.0415300407680948
24,-0.0419168592910692
25,-0.0422769269166328
26,-0.0426098068872467
27,-0.042914190366973595
28,-0.0431891685072205
29,-0.043433525544489995
30,-0.0436461019258954
31,-0.043827694243992896
32,-0.043980554956286
33,-0.0441070451172896
34,-0.044209205033857696
35,-0.0442886937521991
36,-0.044347037120687396
37,-0.0443857850313476
38,-0.0444065450200078
39,-0.0444108236079405
40,-0.0444006759220011
41,-0.0443783643404635
42,-0.044344516528682196
43,-0.044298109225685896
44,-0.044237786957543
45,-0.044162455097790196
46,-0.0440706197742054
47,-0.043961175368093
48,-0.043835132136117796
49,-0.0436948016626589
50,-0.0435421926857464
51,-0.0433787594475182
52,-0.0432058127357928
53,-0.043024488046279896
54,-0.0428359441440544
55,-0.042641397458962296
56,-0.042441926151839
57,-0.0422395030361111
58,-0.0420360630758245
59,-0.0418311445852793
60,-0.04162290985276153
61,-0.0414098289791651
62,-0.0411902459064096
63,-0.0409622751631603
64,-0.0407252262040105
65,-0.040480292773523996
66,-0.04022948588323
67,-0.0399744017461465
68,-0.0397160917675543
69,-0.0394554737702598
70,-0.039193376355370096
71,-0.0389306948130914
72,-0.0386683093238916
73,-0.038407350347165796
74,-0.0381496755845993
75,-0.0378962634385592
76,-0.0376458195679778
77,-0.037396209844045
78,-0.037145846105669
79,-0.0368928196215271
80,-0.0366352283464155
81,-0.0363731193000427
82,-0.036107876082379295
83,-0.035840880496101
84,-0.035573281877038496
85,-0.0353058949140785
86,-0.035039370458032695
87,-0.0347743943163211
88,-0.0345116458001996
89,-0.034251758796233295
90,-0.0339960457324768
91,-0.0337459976820938
92,-0.033501521653025
93,-0.0332609987293167
94,-0.0330224822823237
95,-0.032784215844596495
96,-0.0325441306559383
97,-0.0323006670161733
98,-0.0320542673208584
99,-0.031806493449656796
100,-0.0315585871352038
101,-0.0313112968742832
102,-0.0310652485852115
103,-0.030820989860325
